config_name,case_id,question,case_type,precision_at_k,recall_at_k,f1_at_k,reciprocal_rank,is_refusal,refusal_correct,faithfulness_proxy,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,retrieval_latency_ms,generation_latency_ms,answer,error
config_cloud_deepseek,test_001,Co to jest LLKMS,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.1250,0.6667,0.0000,0.2500,0.0000,1093.29,4878.94,"Z dokumentów wynika, że LLKMS to system oparty na architekturze modularnej, wykorzystujący semantyczne wyszukiwanie (RAG) i bazę wektorową FAISS do zarządzania wiedzą z dokumentów nieustrukturyzowanyc",
config_cloud_deepseek,test_002,Co to jest DeepSeek,answerable,0.7500,1.0000,0.8571,0.5000,False,True,0.2500,1.0000,0.0000,0.5000,1.0000,265.77,5291.28,"Z dokumentów wynika, że DeepSeek to dostawca modeli AI, a DeepSeek-V3 to konkretny, silny model języka typu Mixture-of-Experts (MoE) o łącznej liczbie 671B parametrów, opracowany przez DeepSeek-AI. Je",
config_cloud_deepseek,test_003,W co są wyposażone sale dla osób z niepełnosprawnością,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.1250,0.4286,0.0000,0.3333,1.0000,879.85,3255.62,"Sale dla osób z niepełnosprawnością są wyposażone w stanowiska komputerowe z dostosowaną klawiaturą i myszkami, dostosowane biurka i stoły elektroniczne oraz lampy ze szkłem powiększającym.",
config_cloud_deepseek,test_004,Czy projekt Train Qualitier jest związany z pociągami?,answerable,0.7500,1.0000,0.8571,1.0000,False,True,0.2500,1.0000,0.0000,1.0000,1.0000,271.18,3314.27,"Tak, projekt Train Qualitier to system do monitorowania jakości jazdy pociągów i analizy jakości podróży kolejowych.",
config_cloud_deepseek,test_005,Jaki jest najlepszy dżem do kanapki z masłem orzechowym?,answerable,0.2500,1.0000,0.4000,1.0000,False,True,0.1250,1.0000,0.0000,1.0000,1.0000,237.76,2325.40,Najlepszym dżemem do kanapki z masłem orzechowym jest dżem z czarnej porzeczki.,
config_cloud_deepseek,test_006,Jakie kluczowe wymogi pracy dyplomowej / projektowej ,answerable,0.5000,1.0000,0.6667,1.0000,False,True,0.1250,0.8000,0.0000,0.5000,0.0000,237.80,5239.83,"Praca musi dotyczyć dokładnie sprecyzowanego problemu i zachować naukowy charakter, w tym dokładność faktów i poprawność językową. Wydruk musi pochodzić z systemu APD po zatwierdzeniu przez promotora ",
config_cloud_deepseek,test_008,Co to jest fotosynteza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,1111.86,2008.38,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_009,Jakie są główne składniki powietrza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,212.46,1924.05,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_010,Jak kot używał narzędzia Tesseract do zostawiania wiadomości właścicielowi?,answerable,0.0000,0.0000,0.0000,0.0000,True,False,0.0000,,,,,289.83,2091.50,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_011,Co to jest kwantowa superpozycja?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,201.40,1749.84,I cannot find this information in the provided documents.,
config_cloud_deepseek,test_012,Jakie są zalety energii słonecznej?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,221.20,1833.85,I cannot find this information in the provided documents.,
config_cloud_openai,test_001,Co to jest LLKMS,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.0000,0.0000,0.0000,0.9167,1.0000,399.97,7228.35,"LLKMS to narzędzie/system do zarządzania wiedzą i semantycznego wyszukiwania oparte na podejściu RAG z indeksem FAISS, zaprojektowane do pracy z danymi nieustrukturyzowanymi (np. PDF, TXT, DOCX, HTML ",
config_cloud_openai,test_002,Co to jest DeepSeek,answerable,0.7500,1.0000,0.8571,0.5000,False,True,0.1250,0.0000,0.0000,0.6389,1.0000,331.50,8766.79,"DeepSeek to organizacja/projekt rozwijający otwartoźródłowe modele językowe (podpisane jako DeepSeek‑AI). Jego najnowszy model, DeepSeek‑V3, to Mixture‑of‑Experts LLM o 671 mld parametrów (37B aktywow",
config_cloud_openai,test_003,W co są wyposażone sale dla osób z niepełnosprawnością,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.2500,0.0000,0.0000,0.3333,1.0000,303.07,12561.99,"Pracownie komputerowe są wyposażone w stanowiska dostosowane do potrzeb osób z niepełnosprawnością, a biblioteka posiada m.in. stanowiska komputerowe z dostosowaną klawiaturą i myszkami, dostosowane b",
config_cloud_openai,test_004,Czy projekt Train Qualitier jest związany z pociągami?,answerable,0.7500,1.0000,0.8571,1.0000,False,True,0.2500,1.0000,0.0000,1.0000,1.0000,282.60,4073.98,Tak. System Train Qualitier służy do monitorowania jakości jazdy pociągów i analizy parametrów podróży kolejowych.,
config_cloud_openai,test_005,Jaki jest najlepszy dżem do kanapki z masłem orzechowym?,answerable,0.2500,1.0000,0.4000,1.0000,False,True,0.1250,1.0000,0.0000,1.0000,1.0000,312.66,3970.42,Najlepszym dżemem do kanapki z masłem orzechowym jest dżem z czarnej porzeczki.,
config_cloud_openai,test_006,Jakie kluczowe wymogi pracy dyplomowej / projektowej ,answerable,0.5000,1.0000,0.6667,1.0000,False,True,0.1250,0.0000,0.0000,0.9167,1.0000,458.91,20234.42,"Praca musi dotyczyć dokładnie sprecyzowanego problemu (odzwierciedlonego w tytule), mieć tytuły rozdziałów zgodne z treścią, wyczerpująco opracowany zakres związany z kierunkiem studiów oraz pogłębion",
config_cloud_openai,test_008,Co to jest fotosynteza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,313.40,3593.07,I cannot find this information in the provided documents.,
config_cloud_openai,test_009,Jakie są główne składniki powietrza?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,325.69,2868.38,I cannot find this information in the provided documents.,
config_cloud_openai,test_010,Jak kot używał narzędzia Tesseract do zostawiania wiadomości właścicielowi?,answerable,0.0000,0.0000,0.0000,0.0000,True,False,0.0000,,,,,267.43,4267.56,I cannot find this information in the provided documents.,
config_cloud_openai,test_011,Co to jest kwantowa superpozycja?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,227.12,3473.03,I cannot find this information in the provided documents.,
config_cloud_openai,test_012,Jakie są zalety energii słonecznej?,unanswerable,0.0000,1.0000,0.0000,0.0000,True,True,0.0000,,,,,235.89,2906.25,I cannot find this information in the provided documents.,
config_local_bielik,test_001,Co to jest LLKMS,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.0000,0.0000,0.0000,0.0000,0.0000,2370.47,4920.18,LLKMS stands for Large Language Knowledge Management System. It is a modular platform designed to,
config_local_bielik,test_002,Co to jest DeepSeek,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.2500,0.0000,0.0000,0.0000,0.0000,81.87,19706.10,"DeepSeek-V3 to zaawansowany model językowy oparty na technice Mixture of Experts (MoE) z 671B total parametrami i 37B aktywowanymi dla każdego tokenu. Zaprojektowany przez firmę DeepSeek, ten model wy",
config_local_bielik,test_003,W co są wyposażone sale dla osób z niepełnosprawnością,answerable,1.0000,1.0000,1.0000,1.0000,False,True,0.1250,0.0000,0.0000,0.0000,0.0000,97.87,8831.11,"Sale dla osób z niepełnosprawnością są wyposażone w: - stanowiska dostosowane do potrzeb osób z niepełnosprawnością, np. z regulowanymi biurkami, ergonomicznymi krzesłami i oświetleniem - laptopy z op",
config_local_bielik,test_004,Czy projekt Train Qualitier jest związany z pociągami?,answerable,0.7500,1.0000,0.8571,1.0000,False,True,0.2500,0.0000,0.0000,0.0000,0.0000,117.46,8230.18,"Projekt Train Qualitier nie jest bezpośrednio związany z pociągami. Jest to projekt mający na celu monitorowanie jakości jazdy pociągów oraz analizę historycznych danych, aby dostarczyć obiektywnych i",
config_local_bielik,test_005,Jaki jest najlepszy dżem do kanapki z masłem orzechowym?,answerable,0.2500,1.0000,0.4000,1.0000,False,True,0.1250,0.0000,0.0000,0.0000,0.0000,92.05,7594.77,"Dla wielu osób, mus jabłkowy to idealny dodatek do kanapek z masłem orzechowym. Jest słodki i kremowy, a jednocześnie lekko kwaśny, co doskonale komponuje się z orzechowym smakiem masła orzechowego. I",
config_local_bielik,test_006,Jakie kluczowe wymogi pracy dyplomowej / projektowej ,answerable,0.7500,1.0000,0.8571,1.0000,False,True,0.0000,0.0000,0.0000,0.0000,0.0000,85.28,11999.41,"PRZYKŁADOWA ODPOWIEDŹ: Konkretne wymogi pracy dyplomowej / projektowej zależą od kontekstu, czyli od tematu i dziedziny nauki. W niniejszym przykładzie skupiono się na wymogach technicznych i formalny",
